Extracting RWBS and sectors to /tmp/ycsb-rocksdb/data/output_myworkloada/sectors.dat
Parsing results...

SECTOR_SIZE   RW   COUNT         RATIO (in R/W)   RATIO (Overall)
47            W    17                    0.003%            0.000%
448           W    16                    0.003%            0.000%
43            W    16                    0.003%            0.000%
824           W    15                    0.003%            0.000%
696           W    15                    0.003%            0.000%
44            W    15                    0.003%            0.000%
320           W    15                    0.003%            0.000%
216           W    15                    0.003%            0.000%
168           W    15                    0.003%            0.000%
152           W    15                    0.003%            0.000%
912           W    14                    0.002%            0.000%
280           W    14                    0.002%            0.000%
248           W    14                    0.002%            0.000%
1000          W    14                    0.002%            0.000%
976           W    13                    0.002%            0.000%
1008          W    13                    0.002%            0.000%
936           W    12                    0.002%            0.000%
848           W    12                    0.002%            0.000%
680           W    12                    0.002%            0.000%
61            W    12                    0.002%            0.000%
584           W    12                    0.002%            0.000%
352           W    12                    0.002%            0.000%
344           W    12                    0.002%            0.000%
568           W    11                    0.002%            0.000%
528           W    11                    0.002%            0.000%
520           W    11                    0.002%            0.000%
176           W    11                    0.002%            0.000%
856           W    10                    0.002%            0.000%
672           W    10                    0.002%            0.000%
536           W    10                    0.002%            0.000%
488           W    10                    0.002%            0.000%
464           W    10                    0.002%            0.000%
368           W    10                    0.002%            0.000%
288           W    10                    0.002%            0.000%
272           W    10                    0.002%            0.000%
208           W    10                    0.002%            0.000%
184           W    10                    0.002%            0.000%
816           W    9                     0.002%            0.000%
800           W    9                     0.002%            0.000%
760           W    9                     0.002%            0.000%
688           W    9                     0.002%            0.000%
616           W    9                     0.002%            0.000%
608           W    9                     0.002%            0.000%
600           W    9                     0.002%            0.000%
58            W    9                     0.002%            0.000%
480           W    9                     0.002%            0.000%
384           W    9                     0.002%            0.000%
376           W    9                     0.002%            0.000%
360           W    9                     0.002%            0.000%
336           W    9                     0.002%            0.000%
328           W    9                     0.002%            0.000%
1             R    9                     0.000%            0.000%
656           W    8                     0.001%            0.000%
640           W    8                     0.001%            0.000%
624           W    8                     0.001%            0.000%
57            W    8                     0.001%            0.000%
544           W    8                     0.001%            0.000%
472           W    8                     0.001%            0.000%
456           W    8                     0.001%            0.000%
38            W    8                     0.001%            0.000%
264           W    8                     0.001%            0.000%
240           W    8                     0.001%            0.000%
960           W    7                     0.001%            0.000%
840           W    7                     0.001%            0.000%
776           W    7                     0.001%            0.000%
648           W    7                     0.001%            0.000%
632           W    7                     0.001%            0.000%
552           W    7                     0.001%            0.000%
512           W    7                     0.001%            0.000%
496           W    7                     0.001%            0.000%
312           W    7                     0.001%            0.000%
256           W    7                     0.001%            0.000%
704           W    6                     0.001%            0.000%
60            W    6                     0.001%            0.000%
440           W    6                     0.001%            0.000%
304           W    6                     0.001%            0.000%
944           W    5                     0.001%            0.000%
872           W    5                     0.001%            0.000%
808           W    5                     0.001%            0.000%
664           W    5                     0.001%            0.000%
59            W    5                     0.001%            0.000%
576           W    5                     0.001%            0.000%
560           W    5                     0.001%            0.000%
296           W    5                     0.001%            0.000%
232           W    5                     0.001%            0.000%
992           W    4                     0.001%            0.000%
864           W    4                     0.001%            0.000%
63            W    4                     0.001%            0.000%
832           W    3                     0.001%            0.000%
62            W    1                     0.000%            0.000%


SUMMARY (512-byte sectors)
----------------------------------------------------------------------
Total read I/Os : 3690374        [ 86.089%]
Total write I/Os: 596329         [ 13.911%]
Total read sectors : 140281681   [ 21.506%,   68496.915MB]
Total write sectors: 512011389   [ 78.494%,  250005.561MB]
