Linux 4.4.132-0404132-generic (pl2) 	2018-10-25 	_x86_64_	(24 CPU)

11:14:09 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:14:12 AM  all    3.82    0.00    1.21    0.69    0.00    0.06    0.00    0.00    0.00   94.22
11:14:12 AM    0   37.58    0.00    2.01    0.34    0.00    0.00    0.00    0.00    0.00   60.07
11:14:12 AM    1    4.95    0.00    0.33    0.66    0.00    0.66    0.00    0.00    0.00   93.40
11:14:12 AM    2    1.99    0.00    1.00    8.64    0.00    0.33    0.00    0.00    0.00   88.04
11:14:12 AM    3    1.33    0.00    1.33    0.00    0.00    0.00    0.00    0.00    0.00   97.34
11:14:12 AM    4    4.01    0.00    1.67    0.67    0.00    0.00    0.00    0.00    0.00   93.65
11:14:12 AM    5    3.01    0.00    4.01    1.67    0.00    0.00    0.00    0.00    0.00   91.30
11:14:12 AM    6    3.69    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   95.64
11:14:12 AM    7    1.33    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   98.01
11:14:12 AM    8    1.00    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   98.34
11:14:12 AM    9    5.96    0.00    3.64    0.00    0.00    0.00    0.00    0.00    0.00   90.40
11:14:12 AM   10    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   99.33
11:14:12 AM   11   13.33    0.00    4.67    0.33    0.00    0.00    0.00    0.00    0.00   81.67
11:14:12 AM   12    2.33    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   97.00
11:14:12 AM   13    1.67    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.33
11:14:12 AM   14    0.67    0.00    1.00    0.33    0.00    0.00    0.00    0.00    0.00   97.99
11:14:12 AM   15    3.34    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   95.99
11:14:12 AM   16    0.33    0.00    0.67    1.67    0.00    0.00    0.00    0.00    0.00   97.32
11:14:12 AM   17    2.33    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   97.00
11:14:12 AM   18    1.00    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   97.99
11:14:12 AM   19    0.33    0.00    0.66    2.66    0.00    0.00    0.00    0.00    0.00   96.35
11:14:12 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:14:12 AM   21    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67
11:14:12 AM   22    1.67    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   97.67
11:14:12 AM   23    0.67    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.00

11:14:12 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:14:15 AM  all    0.99    0.00    2.31    0.93    0.00    0.00    0.00    0.00    0.00   95.78
11:14:15 AM    0    0.00    0.00   42.14    0.00    0.00    0.00    0.00    0.00    0.00   57.86
11:14:15 AM    1    0.00    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00   98.99
11:14:15 AM    2    4.58    0.00    0.98    0.00    0.00    0.00    0.00    0.00    0.00   94.44
11:14:15 AM    3    0.33    0.00    0.00    0.67    0.00    0.33    0.00    0.00    0.00   98.67
11:14:15 AM    4    0.67    0.00    0.67    1.67    0.00    0.00    0.00    0.00    0.00   96.99
11:14:15 AM    5    6.67    0.00    2.00    6.00    0.00    0.00    0.00    0.00    0.00   85.33
11:14:15 AM    6    0.33    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   99.00
11:14:15 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:14:15 AM    8    0.00    0.00    0.00    2.01    0.00    0.00    0.00    0.00    0.00   97.99
11:14:15 AM    9    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:14:15 AM   10    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:14:15 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:14:15 AM   12    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.33
11:14:15 AM   13    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:14:15 AM   14    0.33    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.67
11:14:15 AM   15    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:14:15 AM   16    5.02    0.00    4.68    1.67    0.00    0.00    0.00    0.00    0.00   88.63
11:14:15 AM   17    1.67    0.00    1.33    7.00    0.00    0.00    0.00    0.00    0.00   90.00
11:14:15 AM   18    3.67    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   95.33
11:14:15 AM   19    0.00    0.00    0.67    0.33    0.00    0.00    0.00    0.00    0.00   99.00
11:14:15 AM   20    0.33    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   99.00
11:14:15 AM   21    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:14:15 AM   22    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:14:15 AM   23    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.67

11:14:15 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:14:18 AM  all    0.81    0.00    1.88    3.44    0.00    0.04    0.00    0.00    0.00   93.83
11:14:18 AM    0    0.00    0.00   37.33    0.33    0.00    0.33    0.00    0.00    0.00   62.00
11:14:18 AM    1    1.34    0.00    1.68    4.70    0.00    0.00    0.00    0.00    0.00   92.28
11:14:18 AM    2    0.67    0.00    0.33    3.00    0.00    0.00    0.00    0.00    0.00   96.00
11:14:18 AM    3    1.00    0.00    0.33   10.33    0.00    0.00    0.00    0.00    0.00   88.33
11:14:18 AM    4    1.99    0.00    0.66    2.98    0.00    0.00    0.00    0.00    0.00   94.37
11:14:18 AM    5    0.33    0.00    0.66    0.66    0.00    0.00    0.00    0.00    0.00   98.34
11:14:18 AM    6    0.00    0.00    0.33    1.33    0.00    0.00    0.00    0.00    0.00   98.33
11:14:18 AM    7    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
11:14:18 AM    8    1.33    0.00    0.33   16.00    0.00    0.00    0.00    0.00    0.00   82.33
11:14:18 AM    9    0.00    0.00    0.66    5.65    0.00    0.00    0.00    0.00    0.00   93.69
11:14:18 AM   10    2.67    0.00    0.33   16.33    0.00    0.00    0.00    0.00    0.00   80.67
11:14:18 AM   11    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:14:18 AM   12    3.30    0.00    0.99    7.59    0.00    0.33    0.00    0.00    0.00   87.79
11:14:18 AM   13    0.67    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.00
11:14:18 AM   14    0.33    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.67
11:14:18 AM   15    0.33    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   99.00
11:14:18 AM   16    0.00    0.00    0.67    4.00    0.00    0.00    0.00    0.00    0.00   95.33
11:14:18 AM   17    0.67    0.00    0.00    3.33    0.00    0.00    0.00    0.00    0.00   96.00
11:14:18 AM   18    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:14:18 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:14:18 AM   20    0.00    0.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00   99.67
11:14:18 AM   21    4.32    0.00    0.66    4.98    0.00    0.00    0.00    0.00    0.00   90.03
11:14:18 AM   22    0.00    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   99.33
11:14:18 AM   23    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:14:18 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:14:21 AM  all    1.62    0.00    0.79    3.51    0.00    0.01    0.00    0.00    0.00   94.06
11:14:21 AM    0    0.33    0.00    0.33    0.67    0.00    0.00    0.00    0.00    0.00   98.67
11:14:21 AM    1    3.00    0.00    0.67    2.00    0.00    0.00    0.00    0.00    0.00   94.33
11:14:21 AM    2    2.00    0.00    1.33    5.67    0.00    0.00    0.00    0.00    0.00   91.00
11:14:21 AM    3    6.64    0.00    4.65   13.29    0.00    0.00    0.00    0.00    0.00   75.42
11:14:21 AM    4    1.66    0.00    1.00    2.99    0.00    0.33    0.00    0.00    0.00   94.02
11:14:21 AM    5    1.34    0.00    0.34    2.01    0.00    0.00    0.00    0.00    0.00   96.31
11:14:21 AM    6    6.31    0.00    3.32    1.66    0.00    0.00    0.00    0.00    0.00   88.70
11:14:21 AM    7    3.00    0.00    0.67   14.00    0.00    0.00    0.00    0.00    0.00   82.33
11:14:21 AM    8    2.33    0.00    0.66    0.33    0.00    0.00    0.00    0.00    0.00   96.68
11:14:21 AM    9    0.67    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.33
11:14:21 AM   10    3.32    0.00    0.66    1.00    0.00    0.00    0.00    0.00    0.00   95.02
11:14:21 AM   11    1.32    0.00    0.33    2.65    0.00    0.00    0.00    0.00    0.00   95.70
11:14:21 AM   12    1.34    0.00    0.00   13.71    0.00    0.00    0.00    0.00    0.00   84.95
11:14:21 AM   13    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   99.33
11:14:21 AM   14    0.33    0.00    1.00    0.00    0.00    0.00    0.00    0.00    0.00   98.67
11:14:21 AM   15    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.34
11:14:21 AM   16    2.66    0.00    0.66    4.65    0.00    0.00    0.00    0.00    0.00   92.03
11:14:21 AM   17    0.33    0.00    0.33    2.33    0.00    0.00    0.00    0.00    0.00   97.00
11:14:21 AM   18    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
11:14:21 AM   19    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:14:21 AM   20    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:14:21 AM   21    1.00    0.00    0.67    6.33    0.00    0.00    0.00    0.00    0.00   92.00
11:14:21 AM   22    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   99.33
11:14:21 AM   23    0.66    0.00    0.66   11.26    0.00    0.00    0.00    0.00    0.00   87.42

11:14:21 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:14:24 AM  all    8.83    0.00    0.56    2.41    0.00    0.01    0.00    0.00    0.00   88.19
11:14:24 AM    0    7.97    0.00    0.33    0.00    0.00    0.33    0.00    0.00    0.00   91.36
11:14:24 AM    1   30.87    0.00    1.01   13.76    0.00    0.00    0.00    0.00    0.00   54.36
11:14:24 AM    2   16.50    0.00    0.67    4.38    0.00    0.00    0.00    0.00    0.00   78.45
11:14:24 AM    3   19.27    0.00    2.33   15.95    0.00    0.00    0.00    0.00    0.00   62.46
11:14:24 AM    4   14.38    0.00    1.00    1.00    0.00    0.00    0.00    0.00    0.00   83.61
11:14:24 AM    5    8.00    0.00    1.00    0.67    0.00    0.00    0.00    0.00    0.00   90.33
11:14:24 AM    6   20.47    0.00    0.34    0.67    0.00    0.00    0.00    0.00    0.00   78.52
11:14:24 AM    7    3.65    0.00    0.66    0.33    0.00    0.00    0.00    0.00    0.00   95.35
11:14:24 AM    8   10.40    0.00    1.34    3.36    0.00    0.00    0.00    0.00    0.00   84.90
11:14:24 AM    9    6.69    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   92.64
11:14:24 AM   10    4.70    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   94.97
11:14:24 AM   11    4.65    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   95.02
11:14:24 AM   12    3.70    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.30
11:14:24 AM   13    8.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.67
11:14:24 AM   14    6.00    0.00    1.67    1.67    0.00    0.00    0.00    0.00    0.00   90.67
11:14:24 AM   15    8.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   91.97
11:14:24 AM   16    8.67    0.00    0.33    3.00    0.00    0.00    0.00    0.00    0.00   88.00
11:14:24 AM   17    5.37    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   94.30
11:14:24 AM   18    2.68    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.32
11:14:24 AM   19    3.67    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.33
11:14:24 AM   20    1.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.67
11:14:24 AM   21    9.03    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   90.97
11:14:24 AM   22    4.30    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   95.36
11:14:24 AM   23    4.01    0.00    0.33   12.71    0.00    0.00    0.00    0.00    0.00   82.94

11:14:24 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:14:27 AM  all    5.06    0.00    0.43    2.92    0.00    0.03    0.00    0.00    0.00   91.56
11:14:27 AM    0    5.72    0.00    0.34    0.67    0.00    0.00    0.00    0.00    0.00   93.27
11:14:27 AM    1    6.71    0.00    1.01   18.79    0.00    0.34    0.00    0.00    0.00   73.15
11:14:27 AM    2    2.68    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.32
11:14:27 AM    3    4.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   95.33
11:14:27 AM    4   15.95    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   83.72
11:14:27 AM    5   13.29    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   86.05
11:14:27 AM    6    8.03    0.00    0.67   12.04    0.00    0.00    0.00    0.00    0.00   79.26
11:14:27 AM    7    3.01    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   96.32
11:14:27 AM    8    3.36    0.00    0.34    5.03    0.00    0.00    0.00    0.00    0.00   91.28
11:14:27 AM    9    5.70    0.00    0.67    9.06    0.00    0.00    0.00    0.00    0.00   84.56
11:14:27 AM   10    2.68    0.00    0.33    4.35    0.00    0.00    0.00    0.00    0.00   92.64
11:14:27 AM   11    2.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   97.33
11:14:27 AM   12    3.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   96.67
11:14:27 AM   13    6.02    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   93.31
11:14:27 AM   14   12.08    0.00    1.68   15.44    0.00    0.00    0.00    0.00    0.00   70.81
11:14:27 AM   15    5.02    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   94.65
11:14:27 AM   16    4.98    0.00    0.33    1.66    0.00    0.00    0.00    0.00    0.00   93.02
11:14:27 AM   17    4.01    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   95.32
11:14:27 AM   18    1.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.67
11:14:27 AM   19    1.67    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.33
11:14:27 AM   20    2.67    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.33
11:14:27 AM   21    0.67    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.33
11:14:27 AM   22    1.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.67
11:14:27 AM   23    5.67    0.00    0.33    2.00    0.00    0.00    0.00    0.00    0.00   92.00

11:14:27 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:14:30 AM  all   10.89    0.00    0.46    3.12    0.00    0.03    0.00    0.00    0.00   85.51
11:14:30 AM    0   17.39    0.00    0.67    0.00    0.00    0.33    0.00    0.00    0.00   81.61
11:14:30 AM    1   13.42    0.00    0.34    0.67    0.00    0.00    0.00    0.00    0.00   85.57
11:14:30 AM    2   22.48    0.00    1.01   13.09    0.00    0.00    0.00    0.00    0.00   63.42
11:14:30 AM    3   22.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00    0.00   77.33
11:14:30 AM    4   16.39    0.00    1.67    0.33    0.00    0.00    0.00    0.00    0.00   81.61
11:14:30 AM    5   28.52    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   70.81
11:14:30 AM    6   36.00    0.00    1.33    1.33    0.00    0.00    0.00    0.00    0.00   61.33
11:14:30 AM    7   24.75    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   75.25
11:14:30 AM    8    2.67    0.00    0.33    3.33    0.00    0.00    0.00    0.00    0.00   93.67
11:14:30 AM    9    6.29    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   93.05
11:14:30 AM   10    2.35    0.00    0.67   24.83    0.00    0.00    0.00    0.00    0.00   72.15
11:14:30 AM   11    3.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   96.33
11:14:30 AM   12    4.35    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.65
11:14:30 AM   13    5.02    0.00    0.67    3.34    0.00    0.00    0.00    0.00    0.00   90.97
11:14:30 AM   14   17.39    0.00    1.34   17.39    0.00    0.33    0.00    0.00    0.00   63.55
11:14:30 AM   15   22.00    0.00    0.33    6.67    0.00    0.00    0.00    0.00    0.00   71.00
11:14:30 AM   16    3.67    0.00    0.67    1.00    0.00    0.00    0.00    0.00    0.00   94.67
11:14:30 AM   17    5.35    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   93.98
11:14:30 AM   18    0.67    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.33
11:14:30 AM   19    1.67    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.33
11:14:30 AM   20    1.67    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.00
11:14:30 AM   21    1.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.67
11:14:30 AM   22    1.34    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.66
11:14:30 AM   23    1.33    0.00    0.00    2.00    0.00    0.00    0.00    0.00    0.00   96.67

11:14:30 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:14:33 AM  all   14.46    0.00    1.09    3.74    0.00    0.01    0.00    0.00    0.00   80.70
11:14:33 AM    0   34.90    0.00    1.01   11.07    0.00    0.00    0.00    0.00    0.00   53.02
11:14:33 AM    1   20.40    0.00    7.02   13.04    0.00    0.33    0.00    0.00    0.00   59.20
11:14:33 AM    2   29.90    0.00    1.00   16.61    0.00    0.33    0.00    0.00    0.00   52.16
11:14:33 AM    3   32.89    0.00    0.66   10.30    0.00    0.00    0.00    0.00    0.00   56.15
11:14:33 AM    4   24.24    0.00    1.01    0.34    0.00    0.00    0.00    0.00    0.00   74.41
11:14:33 AM    5   21.07    0.00    6.02    2.34    0.00    0.00    0.00    0.00    0.00   70.57
11:14:33 AM    6   22.92    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   76.41
11:14:33 AM    7   10.63    0.00    1.33    0.66    0.00    0.00    0.00    0.00    0.00   87.38
11:14:33 AM    8   16.11    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   83.56
11:14:33 AM    9   26.67    0.00    0.67    4.33    0.00    0.00    0.00    0.00    0.00   68.33
11:14:33 AM   10   19.73    0.00    1.67    2.68    0.00    0.00    0.00    0.00    0.00   75.92
11:14:33 AM   11    8.78    0.00    0.34    0.00    0.00    0.00    0.00    0.00    0.00   90.88
11:14:33 AM   12    5.00    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   94.67
11:14:33 AM   13    6.40    0.00    0.67    0.67    0.00    0.00    0.00    0.00    0.00   92.26
11:14:33 AM   14   12.29    0.00    0.66   23.26    0.00    0.00    0.00    0.00    0.00   63.79
11:14:33 AM   15    7.64    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   92.03
11:14:33 AM   16    7.00    0.00    0.33    1.67    0.00    0.00    0.00    0.00    0.00   91.00
11:14:33 AM   17    6.71    0.00    0.00    2.68    0.00    0.00    0.00    0.00    0.00   90.60
11:14:33 AM   18    4.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.00
11:14:33 AM   19   18.94    0.00    0.66    0.00    0.00    0.00    0.00    0.00    0.00   80.40
11:14:33 AM   20    3.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.98
11:14:33 AM   21    2.01    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   97.66
11:14:33 AM   22    2.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.00
11:14:33 AM   23    4.30    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   95.70

11:14:33 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:14:36 AM  all    8.77    0.00    0.68    2.59    0.00    0.01    0.00    0.00    0.00   87.94
11:14:36 AM    0   19.19    0.00    0.67    0.34    0.00    0.34    0.00    0.00    0.00   79.46
11:14:36 AM    1    9.40    0.00    3.02    0.00    0.00    0.00    0.00    0.00    0.00   87.58
11:14:36 AM    2    7.43    0.00    0.34    3.04    0.00    0.00    0.00    0.00    0.00   89.19
11:14:36 AM    3   24.59    0.00    1.97   14.43    0.00    0.33    0.00    0.00    0.00   58.69
11:14:36 AM    4   29.24    0.00    1.33    0.33    0.00    0.00    0.00    0.00    0.00   69.10
11:14:36 AM    5   15.72    0.00    4.01    2.01    0.00    0.00    0.00    0.00    0.00   78.26
11:14:36 AM    6   12.29    0.00    0.66   14.62    0.00    0.00    0.00    0.00    0.00   72.43
11:14:36 AM    7    5.02    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   94.98
11:14:36 AM    8    5.02    0.00    0.00    1.67    0.00    0.00    0.00    0.00    0.00   93.31
11:14:36 AM    9    4.67    0.00    0.33    0.33    0.00    0.00    0.00    0.00    0.00   94.67
11:14:36 AM   10    5.33    0.00    0.67    8.33    0.00    0.00    0.00    0.00    0.00   85.67
11:14:36 AM   11   11.00    0.00    0.33    2.00    0.00    0.00    0.00    0.00    0.00   86.67
11:14:36 AM   12    3.65    0.00    0.33    0.33    0.00    0.00    0.00    0.00    0.00   95.68
11:14:36 AM   13    8.97    0.00    0.33    1.33    0.00    0.00    0.00    0.00    0.00   89.37
11:14:36 AM   14   11.37    0.00    0.33    4.35    0.00    0.00    0.00    0.00    0.00   83.95
11:14:36 AM   15    7.36    0.00    0.33    0.33    0.00    0.00    0.00    0.00    0.00   91.97
11:14:36 AM   16   11.67    0.00    1.00    6.33    0.00    0.00    0.00    0.00    0.00   81.00
11:14:36 AM   17    6.02    0.00    0.67    2.01    0.00    0.00    0.00    0.00    0.00   91.30
11:14:36 AM   18    1.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   98.67
11:14:36 AM   19    2.01    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   97.99
11:14:36 AM   20    1.66    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.01
11:14:36 AM   21    4.98    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   94.68
11:14:36 AM   22    0.67    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.33
11:14:36 AM   23    1.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   98.34

11:14:36 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:14:39 AM  all    2.11    0.00    0.72    5.13    0.00    0.06    0.00    0.00    0.00   91.97
11:14:39 AM    0    3.69    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   96.31
11:14:39 AM    1    0.67    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.33
11:14:39 AM    2    5.32    0.00    1.00    2.99    0.00    0.00    0.00    0.00    0.00   90.70
11:14:39 AM    3    9.46    0.00    0.68   11.82    0.00    0.00    0.00    0.00    0.00   78.04
11:14:39 AM    4    3.41    0.00    1.71    6.83    0.00    0.00    0.00    0.00    0.00   88.05
11:14:39 AM    5    3.68    0.00    0.67    3.01    0.00    0.00    0.00    0.00    0.00   92.64
11:14:39 AM    6    1.99    0.00    1.00    7.97    0.00    0.00    0.00    0.00    0.00   89.04
11:14:39 AM    7    6.25    0.00    6.58   12.83    0.00    0.33    0.00    0.00    0.00   74.01
11:14:39 AM    8    0.33    0.00    2.01   27.09    0.00    0.00    0.00    0.00    0.00   70.57
11:14:39 AM    9    1.33    0.00    1.00    5.32    0.00    0.00    0.00    0.00    0.00   92.36
11:14:39 AM   10    1.00    0.00    0.67    5.33    0.00    0.00    0.00    0.00    0.00   93.00
11:14:39 AM   11    5.63    0.00    0.66    8.61    0.00    0.33    0.00    0.00    0.00   84.77
11:14:39 AM   12    0.00    0.00    0.00    0.67    0.00    0.00    0.00    0.00    0.00   99.33
11:14:39 AM   13    1.33    0.00    0.00    2.67    0.00    0.00    0.00    0.00    0.00   96.00
11:14:39 AM   14    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:14:39 AM   15    2.65    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   97.02
11:14:39 AM   16    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:14:39 AM   17    0.33    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00   99.67
11:14:39 AM   18    0.67    0.00    0.33    5.33    0.00    0.00    0.00    0.00    0.00   93.67
11:14:39 AM   19    0.00    0.00    0.33    4.33    0.00    0.00    0.00    0.00    0.00   95.33
11:14:39 AM   20    0.00    0.00    0.33    6.02    0.00    0.00    0.00    0.00    0.00   93.65
11:14:39 AM   21    0.33    0.00    0.00    5.02    0.00    0.33    0.00    0.00    0.00   94.31
11:14:39 AM   22    1.66    0.00    0.33    5.65    0.00    0.33    0.00    0.00    0.00   92.03
11:14:39 AM   23    0.67    0.00    0.00    3.03    0.00    0.00    0.00    0.00    0.00   96.30

11:14:39 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:14:42 AM  all    0.58    0.00    0.50    9.52    0.00    0.00    0.00    0.00    0.00   89.40
11:14:42 AM    0    0.33    0.00    0.00    7.33    0.00    0.00    0.00    0.00    0.00   92.33
11:14:42 AM    1    1.67    0.00    0.33    2.01    0.00    0.00    0.00    0.00    0.00   95.99
11:14:42 AM    2    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.34
11:14:42 AM    3    0.33    0.00    0.33    0.00    0.00    0.00    0.00    0.00    0.00   99.33
11:14:42 AM    4    3.77    0.00    4.11   73.97    0.00    0.00    0.00    0.00    0.00   18.15
11:14:42 AM    5    2.34    0.00    3.34   37.46    0.00    0.00    0.00    0.00    0.00   56.86
11:14:42 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:14:42 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:14:42 AM    8    0.00    0.00    0.00    7.05    0.00    0.00    0.00    0.00    0.00   92.95
11:14:42 AM    9    1.01    0.00    1.34   61.74    0.00    0.00    0.00    0.00    0.00   35.91
